Tiger	Cat	7.35
Tiger	Tiger	10.0
Airplane	Automobile	5.77
Train	Automobile	6.31
Television	Radio_broadcasting	6.77
Mass_media	Radio	7.42
Bread	Butter	6.19
Cucumber	Potato	5.92
Physician	Nurse	7.0
Professor	Doctorate	6.62
Student	Professor	6.81
Intelligence	Stupidity	5.81
Wood	Forest	7.73
Money	Cash	9.15
King	Queen_regnant	8.58
King_(chess)	Rook_(chess)	5.92
Bishop	Rabbi	6.69
Fuck	Sexual_intercourse	9.44
Association_football	Association_football	9.03
American_football	Basketball	6.81
Association_football	Tennis	6.63
Yasser_Arafat	Michael_Jackson	2.5
Physics	Chemistry	7.35
Vodka	Gin	8.46
Vodka	Brandy	8.13
Drinking	Eating	6.87
Automobile	Automobile	8.94
Gemstone	Gemstone	8.96
Travel	Travel	9.29
Boy	Boy	8.83
Coast	Shore	9.1
Insane_asylum	Psychiatric_hospital	8.87
Magician_(fantasy)	Magician_(fantasy)	9.02
Noon	Noon	9.29
Furnace	Stove	8.79
Food	Fruit	7.52
Bird	Rooster	7.1
Bird	Crane_(bird)	7.38
Food	Rooster	4.42
Money	Dollar	8.42
Money	Currency	9.04
Tiger	Jaguar	8.0
Tiger	Felidae	8.0
Tiger	Carnivore	7.08
Tiger	Mammal	6.85
Tiger	Animal	7.0
Tiger	Organism	4.77
Tiger	Fauna	5.62
Psychology	Psychiatry	8.08
Psychology	Science	6.71
Psychology	List_of_academic_disciplines	5.58
Planet	Star	8.45
Planet	Natural_satellite	8.08
Planet	Sun	8.02
Precedent	null	5.85
Precedent	Antecedent	6.04
Drinkware	Tableware	6.85
Drinkware	Artifact_(archaeology)	2.92
Drinkware	Physical_body	3.69
Drinkware	Entity	2.15
Jaguar	Cat	7.42
Jaguar_Cars	Automobile	7.27
Mile	Kilometre	8.66
Skin	Eye	6.22
Japanese_people	United_States	6.5
Century	Year	7.59
Announcer	News	7.56
Physician	Human_resources	5.0
Harvard_University	Yale_University	8.13
Hospital	Infrastructure	4.63
Life	Death	7.88
Travel	Physical_exercise	5.0
Kind_(disambiguation)	Kind_(disambiguation)	8.97
Street	Place	6.44
Street	Avenue_(landscape)	8.88
Street	City_block	6.88
Cellular_network	Telephone	7.81
Dividend	Payment	7.63
Calculation	Computation	8.44
Profit	Deficit	7.63
Dollar	Japanese_yen	7.78
Dollar	Dollar	9.22
Telephone	Tool	7.13
Liquid	Water	7.89
Marathon	Sprint_(race)	7.47
Seafood	Food	8.34
Seafood	Lobster	8.7
Lobster	Food	7.81
Lobster	Wine	5.7
Championship	Tournament	8.36
Man	Woman	8.3
Man	Governor	5.25
Murder	Manslaughter	8.53
Opera	Performance	6.88
Mexico	Brazil	7.44
Glass	Metal	5.56
Aluminium	Metal	7.83
Rock_music	Jazz	7.59
Museum	Theater_(structure)	7.19
Rain	Thunderstorm	6.31
Monk	Oracle	5.0
Drinkware	Food	5.0
Academic_journal	Professional_body	4.97
Street	Child	4.94
Automobile	Flight	4.94
Space	Chemistry	4.88
null	Conclusion	4.81
Word	Similarity	4.75
Peace	Plan_(policy_debate)	4.75
Consumer	Energy_(society)	4.75
Minister_(Christianity)	Culture	4.69
Intelligence	Student	4.62
Investigation	Energy	4.59
Image	Surface	4.56
Life_imprisonment	null	4.5
null	Game	4.47
Computer	News	4.47
Board_of_directors	Recommendation	4.47
Boy	Brother	4.46
Observation	Architecture	4.38
Coast	Hill	4.38
Military_deployment	Departure	4.25
null	Index	4.25
null	Peace	4.25
Consumer	Confidence	4.13
null	Year	4.06
Attention	Personal_life	4.06
Economic_development	Issue_(legal)	3.97
Theatre	History	3.91
null	Solitude	3.88
Profit	null	3.88
Mass_media	Trade	3.88
Probability	Credibility	3.88
Precedent	Information	3.85
Architecture	Century	3.78
Population	null	3.75
Stock	Life	3.73
Peace	Atmosphere	3.69
Morality	Marriage	3.69
Minority_group	Peace	3.69
Atmosphere	Landscape	3.69
Report	Gain_(finance)	3.63
Music	Project	3.63
7_(number)	Series_(mathematics)	3.56
Experience	Music	3.47
School	null	3.44
5_(number)	Month	3.38
null	Manufacturing	3.38
Morality	Importance	3.31
Money	Surgery	3.31
Delay	News	3.31
Governor	Interview	3.25
null	Institution	3.19
Century	Nation	3.16
Coast	Forest	3.15
Shore	Woodland	3.08
Alcoholic_beverage	Automobile	3.04
President	Medal	3.0
Prejudice	Recognition	3.0
Observation	Serial_(radio_and_television)	2.97
Peace	Insurance	2.94
Mars	Water	2.94
Mass_media	Gain_(finance)	2.88
Precedent	Cognition	2.81
Announcer	Energy	2.75
Telephone_line	Insurance	2.69
Crane_(machine)	Tool	2.69
Drink	Mother	2.65
Opera	Industry	2.63
Volunteer	Motto	2.56
Listed_building	Distance	2.56
Precedent	Collecting	2.5
Drinkware	null	2.4
Sign	Recess_(break)	2.38
Problem	Airport	2.38
Reason	Hypertension	2.31
Direction_(geometry)	Combination	2.25
Wednesday	News	2.22
Glass	Magic_(illusion)	2.08
Cemetery	Woodland	2.08
Possibility	Girl	1.94
Drinkware	Substance	1.92
Forest	Graveyard	1.85
Stock	Egg_(food)	1.81
Month	Hotel	1.81
Energy	Secretary	1.81
Precedent	Group_(sociology)	1.77
Outline_of_industrial_organization	null	1.75
Stock	Telephone	1.62
Sacred	Sexual_intercourse	1.62
Stock	Compact_Disc	1.31
Drink	Ear	1.31
Delay	Racism	1.19
Stock	Life	0.92
Stock	Jaguar_Cars	0.92
Monk	Slavery	0.92
Boy	Magician_(fantasy)	0.92
Sugar	null	0.88
Rooster	Travel	0.62
Noon	Twine	0.54
Chord_(geometry)	Smile	0.54
Professor	Cucumber	0.31
King	Cabbage	0.23
